iter	MultiClass
0	1.666880686
1	1.557479245
2	1.463339974
3	1.38620267
4	1.329445012
5	1.273689335
6	1.224846292
7	1.178289369
8	1.140342265
9	1.105596782
10	1.073725411
11	1.044502747
12	1.020702035
13	0.9958166208
14	0.9743766986
15	0.9562713347
16	0.9362707339
17	0.9168309715
18	0.9014326764
19	0.8877283906
20	0.8744942861
21	0.8609145178
22	0.8500156896
23	0.8394611552
24	0.8314216755
25	0.817445853
26	0.8076925832
27	0.7960319022
28	0.7867123294
29	0.7776920202
30	0.7674377729
31	0.7586453493
32	0.7511573152
33	0.7437533078
34	0.7363282106
35	0.7283613061
36	0.7221857553
37	0.712568083
38	0.7062713167
39	0.7018173274
40	0.6961000558
41	0.6920738554
42	0.6861629501
43	0.6810026079
44	0.6765742075
45	0.6712934403
46	0.6658662433
47	0.6621142438
48	0.6563371507
49	0.6511715017
50	0.6466707981
51	0.6416840729
52	0.6377728456
53	0.6326541582
54	0.6290702479
55	0.6249425665
56	0.6210512407
57	0.6176248777
58	0.6139378064
59	0.6102120794
60	0.6054662513
61	0.6018433228
62	0.5981628037
63	0.5942438473
64	0.5909238896
65	0.5875888523
66	0.5851682294
67	0.5822289091
68	0.5802473009
69	0.5778245623
70	0.5742516087
71	0.5712862743
72	0.5668226545
73	0.5637166919
74	0.5604728635
75	0.5583012951
76	0.5555529203
77	0.5538352278
78	0.5511949336
79	0.5491840574
80	0.5473211171
81	0.5454386345
82	0.5422382373
83	0.5404379016
84	0.5377991531
85	0.5351565232
86	0.5327319135
87	0.5305500162
88	0.5283127761
89	0.5264768632
90	0.5238683422
91	0.5217113415
92	0.5196858219
93	0.5177629748
94	0.5153273831
95	0.5131427587
96	0.5111332642
97	0.5086203868
98	0.5063727195
99	0.5043840197
100	0.5028725164
101	0.50061191
102	0.4990541098
103	0.4965581764
104	0.4946108846
105	0.4927334085
106	0.4898269734
107	0.4877065026
108	0.485975674
109	0.4843086486
110	0.4814116328
111	0.4792639825
112	0.4774577896
113	0.4751450105
114	0.4734163456
115	0.4721851525
116	0.4711266518
117	0.4699651539
118	0.4683285465
119	0.4667157927
120	0.4648243632
121	0.4632969021
122	0.4617843347
123	0.4599820878
124	0.4583395683
125	0.4561036052
126	0.4550380563
127	0.4532048044
128	0.4517513144
129	0.4507331292
130	0.4489681182
131	0.4474496539
132	0.4466322776
133	0.4452036332
134	0.4439308588
135	0.4427564211
136	0.4411105454
137	0.440014387
138	0.4388805924
139	0.4378546762
140	0.4370265864
141	0.4356016223
142	0.434665531
143	0.4338082793
144	0.432017857
145	0.4309160549
146	0.4293876332
147	0.4280852505
148	0.4269739542
149	0.4253726284
150	0.4249155475
151	0.4236344317
152	0.4224326136
153	0.4208774957
154	0.4201981475
155	0.418991145
156	0.4181461904
157	0.4171264299
158	0.4152557187
159	0.4145442887
160	0.4129614566
161	0.411934811
162	0.4105751544
163	0.4094062763
164	0.4077790133
165	0.4066328229
166	0.4051914808
167	0.4040517748
168	0.4027482425
169	0.4014520272
170	0.4003816765
171	0.3987346547
172	0.3975293082
173	0.3960059058
174	0.3954388324
175	0.3944950998
176	0.3937891448
177	0.392997478
178	0.3917753839
179	0.3906661763
180	0.3891537074
181	0.3875637262
182	0.386520409
183	0.3849300482
184	0.3832529836
185	0.3822293205
186	0.3809280815
187	0.3798112271
188	0.3789128733
189	0.3779332149
190	0.3767937221
191	0.375316703
192	0.3742774321
193	0.3726571949
194	0.3715030662
195	0.3707894419
196	0.3696128253
197	0.3687965557
198	0.3677013122
199	0.3664789675
200	0.3652709085
201	0.3647457393
202	0.3640398336
203	0.3625386386
204	0.3614593631
205	0.3607349492
206	0.3595823022
207	0.3588691232
208	0.3578641165
209	0.3570804284
210	0.3567140504
211	0.3557500521
212	0.3551055842
213	0.3544498731
214	0.3531200269
215	0.3522654936
216	0.351515564
217	0.3507543263
218	0.3494028011
219	0.3483810366
220	0.3474299568
221	0.3466072887
222	0.3459181448
223	0.3450921777
224	0.3443700678
225	0.3432514966
226	0.3422307222
227	0.3417239667
228	0.3406567751
229	0.3400738991
230	0.339213138
231	0.338148339
232	0.3373207732
233	0.3368344167
234	0.3363714316
235	0.3354240344
236	0.3348817805
237	0.3346647334
238	0.3340776823
239	0.3332505775
240	0.3324863712
241	0.3319121967
242	0.3308132191
243	0.3300804768
244	0.3292352279
245	0.3282577498
246	0.3274088153
247	0.3265398078
248	0.3259811148
249	0.3250344713
250	0.3237489565
251	0.3231286084
252	0.3222115034
253	0.3213959011
254	0.3201670946
255	0.3192474611
256	0.3181380822
257	0.3176115451
258	0.3169894772
259	0.3160761272
260	0.3152674082
261	0.3148727682
262	0.3140511865
263	0.3133885061
264	0.312773076
265	0.3117527441
266	0.3110704717
267	0.3101719924
268	0.3094289969
269	0.3087109187
270	0.3081537804
271	0.3073120907
272	0.3066784463
273	0.3061576572
274	0.3053895341
275	0.3047312555
276	0.303521799
277	0.3027792409
278	0.302119837
279	0.3008448395
280	0.3002663102
281	0.2997520516
282	0.2989816411
283	0.2974220995
284	0.2968637473
285	0.2961357604
286	0.2952168186
287	0.2943055668
288	0.293632277
289	0.2925382765
290	0.2920492643
291	0.2917957609
292	0.2912914489
293	0.2906762046
294	0.2900744833
295	0.2896028778
296	0.2891610654
297	0.2883297412
298	0.2875636727
299	0.28661484
300	0.2859567163
301	0.2854641001
302	0.2850145074
303	0.2836073325
304	0.2827817484
305	0.282250459
306	0.2817337892
307	0.2811152467
308	0.2807737385
309	0.2800543066
310	0.2792562116
311	0.2785202615
312	0.2778439205
313	0.2773311864
314	0.2770114047
315	0.2761138228
316	0.2756201499
317	0.2750073247
318	0.2745218555
319	0.2740280759
320	0.2737024895
321	0.272920622
322	0.2723941756
323	0.2718707567
324	0.2710625428
325	0.2706141285
326	0.2700489701
327	0.2688083658
328	0.2682557579
329	0.267299963
330	0.2666771337
331	0.2659681273
332	0.2652694948
333	0.264637698
334	0.2641297317
335	0.2634539542
336	0.262991602
337	0.2627984917
338	0.2622052221
339	0.2616203433
340	0.2610599897
341	0.2604407645
342	0.2597256466
343	0.2592265192
344	0.2585139493
345	0.2581422326
346	0.257621372
347	0.2571009102
348	0.2566677375
349	0.2560133192
350	0.2557557421
351	0.2551764537
352	0.2548506682
353	0.2543126303
354	0.2535845203
355	0.2529478205
356	0.252458118
357	0.2520533506
358	0.2513638614
359	0.2508681599
360	0.2506267295
361	0.2501307464
362	0.2494902375
363	0.2490126392
364	0.2486809067
365	0.248123693
366	0.2474945682
367	0.2466355949
368	0.2463405097
369	0.2456994677
370	0.2451849338
371	0.2446493238
372	0.2440112388
373	0.243657583
374	0.2434160529
375	0.2426500568
376	0.2419941482
377	0.2416431885
378	0.2410920291
379	0.2405093485
380	0.2400680465
381	0.2396676331
382	0.2394194285
383	0.2391872266
384	0.2386181542
385	0.2380868163
386	0.237581045
387	0.2371644145
388	0.2367342116
389	0.2363151659
390	0.2359182848
391	0.2354559267
392	0.2348985744
393	0.2343044056
394	0.2336200193
395	0.2331437311
396	0.2329091832
397	0.2321765387
398	0.231855353
399	0.2313354105
400	0.2308836257
401	0.2303848681
402	0.2297655527
403	0.2294142145
404	0.2289558428
405	0.2286928794
406	0.2280549436
407	0.2275585037
408	0.227133769
409	0.2263822567
410	0.22598138
411	0.225399807
412	0.2248998737
413	0.2245027364
414	0.2241151423
415	0.2237107871
416	0.2229678831
417	0.2225589762
418	0.2222708671
419	0.2220536379
420	0.2216367858
421	0.2214197498
422	0.2209985302
423	0.2204835547
424	0.2200677826
425	0.2197414485
426	0.2194302216
427	0.2187802196
428	0.2185104864
429	0.218053472
430	0.2176202675
431	0.2173431746
432	0.2168180621
433	0.2162248596
434	0.2159245373
435	0.2155111132
436	0.214570293
437	0.2140976135
438	0.2135670041
439	0.213088014
440	0.2127245858
441	0.2124907697
442	0.2121086035
443	0.2117739478
444	0.2115505599
445	0.2113377369
446	0.2108831201
447	0.2106672331
448	0.2103830894
449	0.2100248891
450	0.2098055077
451	0.2094077999
452	0.2091516568
453	0.2087794633
454	0.2082061151
455	0.2078886023
456	0.2072597815
457	0.2068119892
458	0.2060651887
459	0.205419902
460	0.2050751362
461	0.2047794138
