iter	Passed	Remaining
0	18	8986
1	41	10340
2	71	11827
3	78	9771
4	87	8663
5	93	7684
6	107	7556
7	118	7263
8	134	7353
9	165	8099
10	180	8037
11	194	7927
12	218	8201
13	241	8384
14	250	8091
15	269	8140
16	279	7950
17	287	7700
18	294	7447
19	300	7214
20	306	6994
21	312	6800
22	319	6617
23	325	6454
24	331	6303
25	338	6164
26	346	6065
27	352	5947
28	359	5841
29	366	5739
30	372	5642
31	379	5552
32	386	5468
33	393	5388
34	399	5313
35	406	5240
36	413	5171
37	420	5107
38	426	5040
39	432	4973
40	438	4907
41	444	4849
42	450	4791
43	456	4734
44	462	4679
45	471	4656
46	479	4624
47	493	4648
48	515	4745
49	543	4893
50	558	4917
51	568	4894
52	597	5042
53	609	5033
54	633	5122
55	646	5122
56	659	5127
57	671	5114
58	679	5076
59	702	5152
60	722	5200
61	734	5188
62	745	5170
63	763	5198
64	781	5227
65	792	5212
66	813	5259
67	823	5234
68	840	5248
69	861	5292
70	877	5299
71	898	5342
72	911	5330
73	928	5343
74	947	5366
75	975	5444
76	992	5453
77	1012	5476
78	1038	5534
79	1059	5560
80	1084	5609
81	1099	5602
82	1108	5568
83	1128	5587
84	1153	5632
85	1180	5685
86	1195	5674
87	1209	5664
88	1218	5627
89	1228	5597
90	1245	5597
91	1261	5594
92	1283	5615
93	1294	5590
94	1311	5592
95	1331	5601
96	1352	5617
97	1375	5642
98	1396	5656
99	1422	5689
100	1437	5680
101	1460	5698
102	1475	5687
103	1502	5721
104	1517	5708
105	1527	5678
106	1541	5663
107	1556	5649
108	1570	5634
109	1578	5597
110	1587	5562
111	1594	5524
112	1608	5508
113	1627	5511
114	1635	5476
115	1645	5446
116	1654	5416
117	1664	5388
118	1679	5377
119	1687	5344
120	1698	5318
121	1718	5323
122	1730	5303
123	1761	5341
124	1780	5342
125	1797	5336
126	1805	5302
127	1815	5277
128	1828	5258
129	1843	5245
130	1853	5220
131	1869	5212
132	1885	5203
133	1899	5189
134	1919	5189
135	1940	5193
136	1966	5211
137	1980	5194
138	2003	5202
139	2012	5175
140	2027	5162
141	2035	5132
142	2052	5124
143	2067	5111
144	2100	5143
145	2134	5174
146	2161	5189
147	2188	5206
148	2204	5193
149	2216	5172
150	2226	5145
151	2236	5119
152	2246	5094
153	2254	5064
154	2273	5059
155	2284	5037
156	2297	5018
157	2317	5016
158	2324	4985
159	2334	4961
160	2341	4930
161	2349	4902
162	2356	4872
163	2367	4850
164	2387	4847
165	2406	4842
166	2418	4821
167	2431	4804
168	2442	4783
169	2460	4777
170	2476	4765
171	2497	4762
172	2506	4737
173	2515	4713
174	2532	4703
175	2544	4684
176	2570	4690
177	2605	4713
178	2631	4718
179	2667	4742
180	2715	4785
181	2728	4768
182	2746	4756
183	2755	4733
184	2763	4705
185	2777	4689
186	2788	4667
187	2814	4670
188	2837	4669
189	2852	4654
190	2868	4640
191	2882	4624
192	2903	4618
193	2910	4590
194	2924	4574
195	2941	4562
196	2961	4555
197	2973	4535
198	2983	4512
199	3003	4505
200	3023	4497
201	3053	4505
202	3074	4498
203	3096	4493
204	3110	4476
205	3129	4465
206	3146	4454
207	3163	4441
208	3175	4420
